rdev1_1958,rdev1_1959,rdev1_1960,rdev1_1961,rdev1_1962,rdev1_1963,rdev1_1964,rdev1_1965,rdev1_1966,rdev1_1967,rdev1_1968,rdev1_1969,rdev1_1970,rdev1_1971,rdev1_1972,rdev1_1973,rdev1_1974,rdev1_1975,rdev1_1976,rdev1_1977,rdev1_1978,rdev1_1979,rdev1_1980,rdev1_1981,rdev1_1982,rdev1_1983,rdev1_1984,rdev1_1985,rdev1_1986,rdev1_1987,rdev1_1988,rdev1_1989,rdev1_1990,rdev1_1991,rdev1_1992,rdev1_1993,rdev1_1994,rdev1_1995,rdev1_1996,rdev1_1997,rdev1_1998,rdev1_1999,rdev1_2000,rdev1_2001,rdev1_2002,rdev1_2003,rdev1_2004,rdev1_2005,rdev1_2006,rdev1_2007,rdev1_2008,rdev1_2009,rdev1_2010,rdev1_2011,rdev1_2012,rdev1_2013,rdev1_2014,rdev1_2015,rdev1_2016,rdev1_2017,rdev1_2018,rdev1_2019,rdev1_2020
0.41875,-0.582674,-0.251048,-0.248589,0.543314,3.05274,0.0952239,-0.242994,0.445241,-1.18845,0.506715,-0.571245,0.147191,-0.432675,2.75706,0.0699925,1.78822,0.00841094,0.387214,0.7015,0.93238,0.661682,0.884554,-0.787057,1.09236,-0.813436,-0.0743141,-0.387582,1.7843,2.50471,-0.519128,0.0776329,1.27128,1.29274,-1.39318,0.232948,-1.90085,0.0192901,-0.0455351,-1.24538,-0.215958,-1.38878,-1.18347,0.807114,-0.410633,-0.145858,-1.04901,-1.20366,-1.22341,-0.846849,0.102379,0.269369,0.390008,0.291214,-1.83997,-1.43365,-0.977801,-0.399598,0.109339,-0.900733,0.0924141,-0.600558,-1.69134
0.208449,0.175284,0.551783,-1.19077,0.249196,2.81739,0.359262,-0.124689,-0.183068,0.10024,0.0162113,-0.524913,-0.263117,-0.564174,2.75036,0.198551,-0.0147252,1.38783,0.123116,0.670248,0.349943,1.15026,0.319297,0.0245068,0.968806,-1.33138,0.103045,0.622033,1.83478,2.04595,-0.0623293,-0.500807,0.750704,1.44039,-1.35073,-2.10482,-1.04338,-0.271475,0.205209,-0.958281,-0.583683,-1.03492,-0.744081,0.809953,-0.634985,0.02235,-2.04784,-0.892826,-1.2128,-0.997645,-0.154657,0.143902,1.06995,-0.620535,-1.28346,-1.14069,-0.271628,-1.11508,-0.538532,-0.102407,-0.166001,0.769346,-0.0270696
0.488612,-0.472231,0.475133,-0.91113,0.356208,2.83584,1.08986,-0.118499,-0.468951,-0.799847,-0.31026,-0.852568,-0.797874,0.102038,2.85978,0.667829,0.0641462,0.963008,0.348273,1.51752,-0.0297078,1.08245,0.278048,0.134427,-0.0967517,-0.00433879,0.337428,-0.169727,1.01268,2.45571,0.444202,0.540328,0.808914,1.13099,-0.31921,-0.325976,-1.02159,-0.316072,-0.313376,-0.997346,-0.75046,-1.44732,-1.64176,0.76379,-0.839152,-0.490154,-0.33169,-0.986659,-1.38957,-2.47607,-0.0870682,0.153146,0.97286,-0.895007,-1.2359,-1.02397,0.0792165,-1.01464,-1.47811,-0.473836,0.269537,0.56957,-0.118452
-0.248736,-0.710144,-0.626165,-0.1547,0.235611,2.8859,0.147421,-0.0574021,0.080999,-0.330717,-0.331235,-1.0926,0.166374,0.911252,2.73585,1.02306,-0.400357,0.38533,-0.255321,0.851465,0.581549,1.53271,0.0404726,-0.385636,0.763878,-0.698793,-0.279915,0.611956,2.26743,1.81212,0.351148,-0.166542,-0.549916,1.22892,0.147711,-0.429893,-0.51458,-0.519512,-0.959373,-0.05065,-0.92538,-0.59821,-0.799726,-0.521286,-0.466073,0.593164,-0.714698,-0.676364,-1.67364,-1.15563,0.536445,0.108314,0.389608,-0.90889,-0.581524,0.194161,-0.605407,-1.21057,-1.35112,-0.994685,0.0954591,0.527558,-1.05722
0.377555,-0.632064,-0.0322297,-0.66845,0.231629,2.97214,-0.759167,-0.0126019,0.291573,-0.641384,-0.463608,-1.44063,-0.352036,-0.0517218,2.84121,-0.00147869,0.448124,0.571002,0.205232,1.44908,0.643185,0.887834,0.653351,0.553976,-1.01494,-0.666055,0.453978,1.13088,0.879676,2.42366,-0.0979875,0.610859,0.915876,0.488952,-0.0471362,-1.00695,-0.987918,-0.263398,0.0338781,-1.1716,-0.167283,-0.884248,-0.707209,0.6994,-0.696468,-0.611301,0.116677,-0.973809,-1.41958,-1.12903,0.26081,0.853863,0.00680404,0.16572,-0.874468,0.0335921,-1.56467,-0.78958,-1.16027,-0.0589172,-0.149214,-0.147776,-0.219519
-0.186175,0.430343,-0.797969,-0.200587,-0.315368,3.04989,-0.624275,-0.95226,0.601118,-1.0118,-0.123124,-0.950743,-0.115642,-0.568155,2.77249,0.392733,1.05693,-0.26785,1.59255,0.216785,0.084921,1.45246,0.400298,0.401875,0.741021,-1.47901,0.79994,0.522059,2.22757,1.68743,-0.397109,-0.633797,0.3778,1.92584,-0.729029,-1.69895,-1.43354,-0.161729,0.380479,-0.27906,-1.11238,-0.975726,-0.604489,0.949563,-0.441178,-0.422888,-0.21898,-0.714381,-2.0649,-1.46121,-0.724333,0.872384,0.579558,0.111147,-0.251712,-0.970346,-0.448146,-0.97883,-0.729613,-0.323546,0.507261,-0.0679106,0.030286
0.452151,0.246468,-0.0816313,-0.621799,0.739622,2.94761,-0.596993,-0.436664,1.39454,-0.621089,0.18912,-0.981485,-0.963363,0.68513,2.73816,-0.33657,0.0380638,1.65263,-0.172959,0.694755,1.1008,1.13198,-0.474296,0.119716,1.24301,-1.12085,0.412382,0.444958,2.19414,1.66255,0.476341,0.28273,0.0567896,1.74013,-0.278848,-0.609351,-1.17047,-0.0479927,-0.661145,-1.69192,-0.365584,-1.82006,-1.46279,0.764446,0.0510121,-1.38179,-0.222659,-0.959208,-1.40229,-1.29794,0.0595537,0.809884,-0.235322,-0.317353,-0.804392,-0.665376,0.123522,-1.19008,-1.29414,-0.444844,0.603692,-1.307,0.22941
-0.546932,-0.392386,0.2458,-0.124193,0.375826,2.82281,0.235136,1.29824,-0.190327,-0.976557,-0.80588,-0.960368,-1.10033,0.677244,2.70648,0.351286,0.856106,-1.76441,0.252074,1.10008,1.02098,0.920467,0.200739,0.202542,0.267545,-0.593028,0.863691,0.191968,2.17646,1.25804,0.920952,0.127461,0.64928,1.74683,-0.161129,-1.90557,-0.574701,-0.1335,-0.304632,-1.99353,-0.585438,-0.673592,-1.12325,0.815014,-0.0562244,-1.38208,-0.992912,-0.916085,-1.70311,-0.74065,-0.61934,0.770904,-0.254652,0.107439,-0.452617,-0.583781,-0.514032,-0.149229,-1.11323,-0.337164,-0.119911,0.466831,-0.983863
0.536298,-0.250978,-0.817405,-0.0947478,-0.268002,2.93481,-0.157566,0.678789,-1.67947,-0.431126,0.307284,-1.10288,0.158463,0.769248,2.62738,-0.37948,0.501599,0.19047,0.189558,1.58195,0.518837,0.62367,0.348352,1.03346,-0.322072,-1.1493,-0.111487,1.08146,2.1513,1.1753,0.875215,-0.804101,0.255138,1.61099,-0.288512,-0.495262,-0.635401,-0.701575,-0.00233472,-0.964075,-0.114085,-0.39935,-1.87687,0.502004,-0.247186,0.141108,-0.209856,-1.86226,-1.89491,-0.836641,-0.922932,0.554174,0.709755,-0.636962,-1.479,-0.145408,-0.990414,-0.671893,-0.306407,-0.394492,0.267658,-0.818578,0.135315
-0.168623,-0.278176,-0.416,-0.810422,-0.687136,2.85016,1.52591,-0.234769,-0.302546,-0.556848,-0.227595,-1.11642,-0.353494,0.447523,2.68514,0.978669,0.574966,0.360972,0.404867,0.291804,1.03044,0.903536,-0.202405,1.10628,-0.633957,0.592681,0.0126218,-0.342386,2.15979,0.830829,0.54568,0.386214,1.5423,0.790117,0.378143,-0.412733,-1.59408,-0.904769,0.141288,-1.05864,-0.202341,-1.60445,-0.886121,0.550516,-0.105539,-0.106027,-0.269919,-1.10192,-1.78784,-1.5933,-0.673938,0.63959,0.419183,-0.541942,-1.00126,-0.579864,-0.0900735,-1.5082,-0.55578,0.100995,-0.306902,-0.631272,0.365492
