ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,sbo,bmsy,msy1,fmsy1,umsy1,q1,q2,q3,q4,q5,SSB1,sel_g1,sel_sd1,sel_g2,sel_sd2,sel_g3,sel_sd3,sel_g4,sel_sd4,sel_g5,sel_sd5,sel_g6,sel_sd6,f
3334.35,0.816085,0.325462,3334.35,3334.35,0.058824,1.47059, 28317.4, 28317.4, 8659.94, 2096.25, 0.33, 0.281076,0.0688044,0.0514039,0.0898392,0.00330162,0.00818503,17971.6,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,263.008
3582.32,0.897254,0.322613,3582.32,3582.32,0.058824,1.47059, 30850.9, 30850.9, 8888, 2426.13, 0.38, 0.316139,0.0588686,0.0475162,0.0828364,0.00277968,0.00742261,19558.9,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,253.699
3297.3,0.69927,0.299192,3297.3,3297.3,0.058824,1.47059, 32014.8, 32014.8, 10523.8, 1952.3, 0.24, 0.213372,0.0677167,0.0467158,0.0814845,0.00320243,0.00772684,20687.7,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,253.506
2764.26,0.637349,0.31207,2764.26,2764.26,0.058824,1.47059, 25096.8, 25096.8, 8632.85, 1472.82, 0.22, 0.197481,0.0677122,0.0523364,0.0919013,0.00293289,0.00848279,17792.9,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,268.066
3020.95,0.791159,0.306954,3020.95,3020.95,0.058824,1.47059, 28158.4, 28158.4, 8848.84, 1932.35, 0.29, 0.251736,0.0661878,0.0451772,0.078856,0.00312641,0.00760406,19945.4,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,260.722
2715.14,0.789197,0.292184,2715.14,2715.14,0.058824,1.47059, 27378.3, 27378.3, 8686.28, 1794.01, 0.27, 0.236621,0.0685209,0.0517987,0.0928808,0.00315302,0.00847067,23049.3,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,270.556
2606.82,0.656913,0.284755,2606.82,2606.82,0.058824,1.47059, 27390, 27390, 9581.24, 1518.56, 0.2, 0.181269,0.0726522,0.0535857,0.0922365,0.00357971,0.00832426,17630.6,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,279.791
3373.71,0.716716,0.324133,3373.71,3373.71,0.058824,1.47059, 28838.3, 28838.3, 9469.58, 1927.74, 0.27, 0.236621,0.059963,0.0435848,0.0757259,0.0027742,0.00705006,26784.7,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,259.892
2882.22,0.754034,0.314065,2882.22,2882.22,0.058824,1.47059, 25903.8, 25903.8, 8290.33, 1750.24, 0.28, 0.244216,0.0639208,0.0492561,0.0845581,0.00310563,0.00773861,17509,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,260.073
3618.68,0.396678,0.332851,3618.68,3618.68,0.058824,1.47059, 29657.3, 29657.3, 12423.3, 1104.1, 0.11, 0.104166,0.0545762,0.046099,0.0810016,0.00259848,0.00708593,17828.5,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,269.513
2613.22,0.862,0.297358,2613.22,2613.22,0.058824,1.47059, 25622.8, 25622.8, 7620.06, 1819.39, 0.32, 0.273851,0.0797417,0.0559289,0.0974299,0.00370287,0.00920994,20481.1,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,275.406
3368.33,0.575003,0.326797,3368.33,3368.33,0.058824,1.47059, 28420.7, 28420.7, 10208.2, 1587.07, 0.2, 0.181269,0.0587041,0.0463101,0.0793412,0.00251318,0.00734759,18063.3,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,270.982
3029.39,0.504661,0.306079,3029.39,3029.39,0.058824,1.47059, 28365.8, 28365.8, 10898.1, 1312.69, 0.15, 0.139292,0.0740628,0.0526268,0.0929571,0.00331109,0.00876292,17502.7,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,252.807
2696.03,0.887334,0.301432,2696.03,2696.03,0.058824,1.47059, 25867.5, 25867.5, 7563.89, 1898.27, 0.34, 0.28823,0.0757517,0.0565576,0.0990273,0.0035066,0.00901037,22846.4,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,261.747
2764.17,0.572337,0.284342,2764.17,2764.17,0.058824,1.47059, 29110.6, 29110.6, 10450.4, 1427.74, 0.17, 0.156335,0.0716014,0.0584431,0.102002,0.00339665,0.00897947,15267,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,271.668
3209.64,0.775067,0.306541,3209.64,3209.64,0.058824,1.47059, 29981.5, 29981.5, 9552.8, 2023.63, 0.28, 0.244216,0.0632091,0.0491768,0.0856161,0.00285616,0.00787098,19516.1,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,263.92
2908.26,0.954828,0.300496,2908.26,2908.26,0.058824,1.47059, 28042.3, 28042.3, 7675.13, 2161.75, 0.39, 0.322943,0.0747107,0.0554794,0.0971383,0.00346278,0.00896069,17047,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,263.064
3513.08,0.886575,0.315588,3513.08,3513.08,0.058824,1.47059, 31331.6, 31331.6, 9150.49, 2394.82, 0.36, 0.302324,0.0644264,0.0433659,0.0743139,0.00295116,0.00722835,24331.3,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,269.717
2448.63,0.73847,0.284058,2448.63,2448.63,0.058824,1.47059, 25828.8, 25828.8, 8401.6, 1569.4, 0.24, 0.213372,0.0761876,0.0544143,0.0951921,0.00351108,0.00902378,19576.7,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,1.5,0.0001,261.158
