sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014,sbt1_2015,sbt1_2016,sbt1_2017,sbt1_2018,sbt1_2019,sbt1_2020,sbt1_2021
40419,41055.2,36998.1,30149.3,24633.1,21009,20455.7,51903.9,69701.7,67225,57183.4,43006.7,33914,27069.5,23035.2,21119,42831.7,51501.4,57839.9,55266.4,48249.2,42452.9,39518.3,36890.4,30956.9,25626.1,25126.7,23231.1,20999.2,19033.4,26148,44783.7,41470.6,36484.8,37079.1,38971.2,29399.6,21986.9,15899.2,14538.1,14260.2,13084.7,12197.2,11130.8,10178.9,12550.2,14617.3,15829.9,15554.1,14298.6,12442.1,11049.7,11556.1,13388,15488.7,16743,16359.1,15077.4,13586.1,12537.6,12645,12760.5,13692.5,14359.6,13762.9,13921.3
50137.7,46223.1,39536.7,32512.5,29211.3,25916.8,24712.1,53409.7,70112.2,68544.7,55238.1,41897.1,32343.8,25254.8,21307,19483.7,46141.9,59031.1,58576.5,56239.2,50006.1,45278.6,40872.6,40496,34846.4,29738.8,29689.2,27471.7,25546.3,25991.3,36803.1,52343.2,46657.9,40191.6,37773.9,40256.9,31054.2,23259.5,16594,14677.4,14952.9,14278.2,13404.6,12360.5,11815.8,14999.3,17370.3,19079.4,18516.4,17008.3,15162.9,13537.8,13624.6,15094.5,20219.9,22123.3,21547.6,20070.6,18981.6,17389.7,16031.5,16114.9,16851.5,20407.2,23072.9,24766.6
50056,49195.5,44069.1,36320.9,31889,27701.9,26224.2,57191,78008.1,76288.2,63160.2,46198.9,34933.8,26618.4,20844.8,18993.5,51331.4,67712.9,68614.1,63935.8,55177.7,53606.3,50199.4,48893.7,41112.2,34966.8,30741.4,27322.3,25419.6,24002.8,27030.9,47112.4,45216.1,42274.8,42030.8,43028.1,32862.7,24688.3,18264.2,16230.5,15281,13729.2,12395.6,10964.9,9580.69,12477.8,14596.5,15493.8,15722.2,14930.6,13344.2,11337.7,11408,13165.4,18241.7,19518.1,18538.1,17004.5,16889.2,16166.8,14457.4,13761.9,15129.8,18664.4,21022,22620.5
47087.5,46300,40639.9,31533.1,24875.1,20894.8,19922.1,53218.7,71860.6,70253.8,58490.1,44428.7,33760.5,25529.9,21441,23545.2,53471.3,70207.1,71120.6,63059.1,51694.4,44991.7,41299.2,43828.6,37914.4,32363,30847.6,27809,24532.5,24401.4,42605.4,60099.4,54428.7,48410.9,42415.8,39930.3,31046.4,23455.6,18208,16382.4,14648.4,14016.7,12878.5,12177.2,11718.6,11705.6,12197.7,15044.7,16349.6,16124.4,14547.4,12910,14744.9,17368.9,20021.4,19694.4,18598.5,19021.5,18886.1,17531.4,15534.7,14069.7,14524,17389.1,18391.1,19329.8
68875.8,62959.4,54425.5,43441.6,35754.4,30112.2,27396.7,59298.7,76398.2,74152.8,63358,48668.1,36911.4,27252.4,22065.4,20107.1,48244.9,61526.1,62968.7,57158.7,48707.5,46891.8,45704.2,45328.5,40084.6,36191.7,32209.8,27858.6,25597.5,28348.7,32890.7,50724.2,46229.4,42455.6,42592.7,40637.4,31423.2,22738.2,16182.7,14329.2,14106.3,13242.3,12829.6,12322.9,11985.2,14652,16625.9,17233.2,17988.9,17562,15944.8,14280.1,15029,19029.7,21853.3,22843.7,22298.1,22242.4,20957.2,19172.4,17104.4,16627.4,17078.3,17893,18412.8,19313.3
56645.3,52206.9,43551.3,34523.7,28066.4,23822.6,21192.4,58284.2,78138.9,75406.3,64453.6,48790.8,37503.2,28840.8,23550.2,20707.9,47707.9,59902.2,62477.8,55353.2,52565.4,47871.8,42561.2,43036.7,37195.9,32443.9,31812.1,28082.6,27383.4,28045,44501.9,58721.6,50310.7,40589.4,36235.5,42268.2,35139.7,26919.5,19746.2,17356.5,17613.3,17493.9,16256.7,14708.3,13745.5,17164.4,19680.1,20418.9,20154.5,18967.1,16522.8,14056.5,12796.8,15873.7,19917.3,21489.6,21910,20991,19698.2,17827.6,16016.1,15321.5,17184.1,19047.1,20403,21455.5
54193.5,49476.9,42160.7,34676.4,28824.9,24409.5,24046.3,55305.5,71526.6,67500.8,59734.4,47605.9,38246.7,30267.5,24326.4,23400.8,47940.3,57418,55282.5,54344.1,48354.7,43375,41774.5,41813.6,33841.7,28215.5,29099.1,27232.6,25606.9,25342.8,39704.6,51851.4,44543,37791.4,33936.7,37826.5,31547.7,24073.9,17501.1,15775.9,14516,12583.9,11280.8,9895.67,8644.81,11148,14158.6,14967.3,15043.9,14257,12735.1,11147.6,11580.9,15188.9,17282.2,17265,16307.8,15412.6,15552.4,14827.8,13323.5,12704.6,14777.3,15783.1,17016,18361.2
42237.8,43849.9,39351,32109.5,27329.3,24264.5,23570.8,49314.2,64654,67267.7,58165.8,44722.4,34286.6,26244.4,20575.6,20100.7,43239.9,54053.3,56480,49727.1,39718.6,35520.4,35090.9,35096.7,29631.5,25168.9,23194.9,20662.4,21291.1,22014.2,35980.9,45190.7,38367,32722.6,30637.5,35002,29268.6,21276.4,16142.3,14814.1,14364,12860.2,11606.4,10734,9986.38,12696.8,15694.1,16532.7,15826.1,14563.7,12761.7,11472,11178.3,14017.2,16076.7,16943.7,16940.4,16600.5,16119.1,15922.2,14973.3,14787.8,15339.8,17521.6,18283.9,18931.6
41348.2,44756.9,43078,36480.1,30208.4,25843.8,23109.3,57648,75741.3,75109.8,60432.8,43717.5,33374.6,25811.7,21916.1,23360.9,49731.3,59244.7,58507.5,50552.3,40238.7,40045.1,39432.2,38461.1,31761.1,30394.2,28689.8,24811.4,21640.2,23929.9,41726.6,52513.4,45789.8,39141.2,34628.6,37914.7,30382.7,23235,17953.1,15745,15221.2,13935.5,13519.9,13430.7,12522.8,14289.1,16176.4,18045.1,18892.6,17694,15277.8,13407.2,12353.6,14464.7,18592.4,19509.5,18318.3,17814.8,16593,15233.8,14426.5,14458,16126.9,16926.5,17971.6,19254.1
59984.3,56967.8,48786.5,38973.6,32252.1,26539.1,22549.5,55837.4,81957.6,83492.8,70402.1,54310.5,42490,33016.1,26918.6,25693,54499.4,70228.7,72654.3,65905.3,57444.2,49663.3,46410.3,45578.5,37514.9,36133.5,33706,32419.3,31274.9,28896.7,44629.9,52971.8,44908.6,39011.5,43573.7,45973.4,38846.3,30639,23211.8,19733.1,18627.8,17051.6,16087,14621.5,13496.7,15581.6,18039.8,19728.6,20382.4,19327.4,17113.3,14737.2,13622.9,16228.4,19741.6,20325,19530.3,18571.9,18282,16926,15638.3,16355.2,17372.3,17791.5,19558.9,21403.6
