rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013,rt1_2014,rt1_2015,rt1_2016,rt1_2017,rt1_2018,rt1_2019,rt1_2020
3967.33,1457.42,2030.53,2035.53,4493.62,55261.9,2870.74,2046.95,4073.84,795.245,4332.13,1474.18,3023.87,1693.28,41116.2,2799.21,15604.6,2632.03,3844.17,5263.75,6630.79,5058.28,6321.13,1188.02,7781.17,1157.09,2423.06,1771.39,15543.6,31946.3,1553.04,2820.68,9305.72,9507.56,648.018,3294.63,390.039,2660.82,2493.8,751.239,2103.04,650.874,799.211,5850.1,1731.02,2255.76,914.24,783.242,767.923,1119.07,2891.35,3416.83,3854.93,3492.29,414.525,622.317,981.713,1750.23,2911.54,1060.36,2862.68,1431.59,480.95
3844.13,3718.73,5418.84,948.689,4004,52221.2,4469.88,2754.98,2598.75,3449.88,3171.84,1846.31,2398.83,1775.22,48835.7,3806.27,3075.21,12502.5,3529.71,6100.36,4428.41,9858.71,4294.76,3198.26,8222.75,824.25,3459.57,5813.21,19548,24144.3,2932.25,1891.35,6611.45,13177.3,808.452,380.328,1099.34,2378.87,3831.7,1197,1740.92,1108.68,1482.93,7015.01,1653.86,3191.37,402.628,1277.97,928.023,1150.8,2673.64,3603.84,9097.94,1677.93,864.709,997.409,2378.5,1023.28,1821.33,2817.06,2643.48,6735.86,3037.48
5411.02,2070.09,5338.57,1334.69,4739.98,56580.4,9871.84,2948.59,2076.9,1491.79,2434.07,1415.18,1494.74,3676.14,57951.6,6473.1,3539.45,8695.74,4702.52,15140,3222.37,9798.95,4383.62,3797.16,3013.42,3305.17,4651.8,2801.34,9138.59,38688.3,5175.97,5698.22,7453.91,10286.3,2412.38,2396.12,1195.11,2419.97,2426.5,1224.44,1567.32,780.754,642.791,7125.05,1434.3,2033.32,2382.47,1237.59,827.174,279.082,3042.74,3868.91,8781.84,1356.38,964.572,1192.27,3593.2,1203.44,757.082,2066.78,4346.46,5867.3,2948.73
2583.9,1628.88,1771.58,2838.67,4193.96,59378.4,3839.94,3128.75,3593.17,2380.52,2379.29,1111.2,3913.41,8242.36,51105.3,9217.38,2220.38,4871.32,2566.94,7764.02,5927.39,15344.4,3450.46,2253.31,7112.92,1647.47,2504.58,6110.39,31991.4,20290.5,4707.62,2805.25,1911.94,11324.4,3841.05,2155.76,1980.71,1970.96,1269.55,3149.95,1313.45,1821.8,1489.3,1967.47,2079.16,5996.64,1621.48,1684.84,621.507,1043.31,5665.98,3692.67,4892.2,1335.29,1852.45,4023.68,1808.74,987.538,858.055,1225.5,3645.5,5615.85,1151.21
4381.47,1596.42,2908.39,1539.38,3786.56,58672.5,1405.88,2966.04,4020.48,1581.61,1889.33,711.201,2112.33,2852.25,51472.1,2999.21,4701.84,5316.58,3687.92,12793.1,5714.54,7298.45,5772.93,5226.83,1088.6,1543.07,4729.44,9306.44,7239.16,33902.5,2723.29,5532.77,7506.02,4897.77,2865.36,1097.32,1118.41,2308.12,3107.15,930.746,2540.97,1240.58,1480.86,6044.99,1496.85,1629.92,3375.37,1134.31,726.33,971.222,3898.68,7054.68,3024.16,3545.04,1252.77,3106.27,628.236,1363.77,941.353,2831.8,2587.3,2591.02,2411.65
2625.43,4863.52,1423.97,2587.86,2307.24,66773.6,1694.09,1220.38,5769.23,1149.84,2796.3,1222.23,2817.3,1791.88,50598,4684,9100.7,2419.52,15548.6,3928.29,3442.99,13516.1,4719.57,4727.02,6635.54,720.657,7038.25,5330.68,29341.2,17096,2126.15,1678.03,4614.57,21698.9,1525.61,578.378,754.182,2690.4,4626.95,2392.55,1039.81,1192.07,1727.94,8174.2,2034.48,2072.04,2540.7,1548.12,401.126,733.601,1532.79,7567.05,5646.17,3534.48,2458.88,1198.5,2020.36,1188.38,1524.71,2288.45,5252.38,2955.03,3259.93
4568.26,3718.98,2678.75,1560.77,6089.72,55400.8,1599.97,1878.21,11722.7,1561.88,3511.7,1089.26,1109.18,5766.77,44931.8,2075.93,3019.36,15174.4,2444.94,5822.53,8738.84,9015.62,1808.84,3276.24,10074.4,947.553,4390.15,4535.51,26078.7,15325.7,4680.11,3856.31,3076.43,16562.1,2199.29,1580.32,901.683,2770.39,1500.56,535.294,2016.57,470.913,673.137,6242.79,3058.71,729.929,2326.4,1113.79,715.118,793.775,3084.95,6532.99,2297.13,2116.21,1300.29,1494.22,3288.73,884.172,796.793,1862.9,5315.74,786.61,3656.08
1597.05,1863.96,3528.55,2437.31,4018.52,46428,3491.12,10108,2281.33,1039.28,1232.7,1056.24,918.286,5432.13,41329,3921.11,6496.05,472.687,3550.76,8290.94,7660.46,6927.89,3373.08,3379.17,3606.12,1525.1,6545.5,3343.62,24326.1,9709.75,6931.25,3134.75,5282.33,15830.1,2348.93,410.46,1553.31,2414.73,2034.92,375.898,1536.72,1407.05,897.483,6234.52,2608.73,692.815,1022.42,1104.07,502.57,1315.79,1485.5,5965.49,2139.21,3072.61,1755,1539.27,1650.46,2377.05,906.519,1969.78,2447.77,4401.38,1031.72
5700.63,2594.26,1472.37,3032.94,2550.47,62745.5,2848.27,6573.64,621.763,2166.59,4533.81,1106.72,3906.89,7196.01,46139,2281.42,5506.22,4033.96,4030.28,16219.8,5601.95,6221.11,4723.88,9372.14,2416.23,1056.52,2982.59,9832.97,28662.2,10800.4,8000.42,1492.09,4303.45,16697.7,2498.69,2031.99,1766.28,1653.19,3326.58,1271.51,2974.85,2236.54,510.387,5508.45,2604.12,3839.67,2703.16,517.897,501.261,1444.32,1324.91,5803.45,6780.38,1763.53,759.787,2883.11,1238.46,1702.99,2454.37,2247.43,4357.67,1470.65,3817.49
3026.44,2712.4,2363.19,1592.95,1801.96,61940.4,16476.3,2832.73,2647.1,2052.71,2853.13,1173.03,2515.61,5604.29,52517.5,9532.24,6366.03,5139.64,5370.26,4796.15,10038.7,8842.29,2925.91,10829.6,1900.38,6479.81,3627.82,2543.71,31056.1,8222.21,6182.3,5271.02,16748.5,7894.19,5228.65,2370.92,727.552,1449.53,4125.96,1242.8,2926.1,720.043,1476.82,6212.27,3223.51,3221.94,2734.89,1190.16,599.399,728.118,1825.9,6791.01,5447.7,2083.54,1316.2,2006.01,3273.75,792.799,2054.91,3963.02,2635.59,1905.49,5162.92
